database,index_phase,query_id,runs,average_ms,minimum_ms,maximum_ms,median_ms,stddev_ms,is_real
sqlserver,with_indexes,q01_product_by_id,10,0.7709458004683256,0.6770000036340207,0.9510839881841093,0.7410414982587099,0.08867570070031787,True
sqlserver,with_indexes,q02_product_name,10,1.4510040957247838,1.2402909924276173,1.7213750106748194,1.4822499942965806,0.17820025424603655,True
sqlserver,with_indexes,q03_products_by_category,10,2.403587699518539,1.9846250070258975,3.400666988454759,2.3494170018238947,0.4499920118055547,True
sqlserver,with_indexes,q04_orders_by_customer,10,0.9953790053259581,0.7799160084687173,1.318666007136926,1.0200625110883266,0.19287216271202784,True
sqlserver,with_indexes,q05_complete_order,10,0.949070806382224,0.7545420085079968,1.1057090014219284,0.9457710111746565,0.1329982618207279,True
sqlserver,with_indexes,q06_total_sales,10,23.50815850077197,23.34099999279715,23.752042005071416,23.47485448990483,0.1347272172946226,True
sqlserver,with_indexes,q07_sales_date_range,10,8.78127489995677,8.574625011533499,9.228624985553324,8.722416503587738,0.19781390484277922,True
sqlserver,with_indexes,q08_top_products,10,75.42168729996774,36.606375011615455,99.58583299885504,87.30535399809014,24.257219895776046,True
sqlserver,with_indexes,q09_sales_by_category,10,68.02420830645133,29.747250024229288,91.66045801248401,77.36795798700769,23.054266963917616,True
sqlserver,with_indexes,q10_average_order_value,10,25.606853890349157,25.44779100571759,26.51883297949098,25.488812490948476,0.3288337455346427,True
sqlserver,with_indexes,q11_orders_by_status,10,15.389562599011697,15.148582984693348,15.82258299458772,15.309916998376139,0.20112661843323246,True
sqlserver,with_indexes,q12_top_customers,10,43.32215409958735,42.42633399553597,47.483667003689334,42.72910401050467,1.563678168510274,True
sqlserver,with_indexes,q13_heavy_multi_join,10,350.2721833967371,304.6170409943443,404.8176250071265,349.151187503594,43.766795344677256,True
sqlserver,with_indexes,q14_insert,10,8.421254096901976,1.1285829823464155,70.64874999923632,1.519249999546446,21.866380332014728,True
sqlserver,with_indexes,q15_update,10,1.814170606667176,0.9269159927498549,8.385416003875434,1.0738125129137188,2.3123250382198113,True
sqlserver,with_indexes,q16_delete,10,1.521958300145343,0.9667920239735395,5.1585829933173954,1.0258749971399084,1.3060751273541342,True
sqlserver,without_extra_indexes,q01_product_by_id,10,0.9327582025434822,0.6815000087954104,1.2806249724235386,0.9162704955087975,0.16252566502885,True
sqlserver,without_extra_indexes,q02_product_name,10,2.981558599276468,2.596250007627532,3.6616669967770576,2.8974794986424968,0.3526752586479974,True
sqlserver,without_extra_indexes,q03_products_by_category,10,2.039008302381262,1.8783750128932297,2.456166985211894,1.9479795009829104,0.19962068889720005,True
sqlserver,without_extra_indexes,q04_orders_by_customer,10,6.44161670061294,6.1544160125777125,7.0885419845581055,6.329813011689112,0.29308221575077564,True
sqlserver,without_extra_indexes,q05_complete_order,10,0.7950375991640612,0.7063339871820062,1.1186669871676713,0.7647710008313879,0.12107589287987323,True
sqlserver,without_extra_indexes,q06_total_sales,10,24.155512504512444,23.780042014550418,25.132999988272786,24.103396004647948,0.4041387800275463,True
sqlserver,without_extra_indexes,q07_sales_date_range,10,20.48374580044765,20.085916999960318,21.24983398243785,20.33627050695941,0.36708955675131644,True
sqlserver,without_extra_indexes,q08_top_products,10,81.56368730415124,37.55979100242257,103.06912500527687,89.1284995013848,22.101494700496012,True
sqlserver,without_extra_indexes,q09_sales_by_category,10,75.97921659762505,36.123208003118634,94.92725000018254,89.1680000058841,24.876933293364292,True
sqlserver,without_extra_indexes,q10_average_order_value,10,28.168720999383368,25.760874996194616,47.46895900461823,25.966395987779833,6.785992916370184,True
sqlserver,without_extra_indexes,q11_orders_by_status,10,31.5307999990182,31.243000004906207,32.262499997159466,31.430854010977782,0.31035649900309575,True
sqlserver,without_extra_indexes,q12_top_customers,10,53.62076250021346,52.15762497391552,57.007041992619634,53.35156251385342,1.3105823770431606,True
sqlserver,without_extra_indexes,q13_heavy_multi_join,10,516.4715416991385,430.98958299378864,599.1658340208232,503.07197899383027,47.7321798278202,True
sqlserver,without_extra_indexes,q14_insert,10,1.7968333035241812,1.0215000074822456,7.387749996269122,1.1826875124825165,1.9697638041713696,True
sqlserver,without_extra_indexes,q15_update,10,2.199366601416841,0.8288329991046339,13.466124975821003,0.9272295137634501,3.96091513943676,True
sqlserver,without_extra_indexes,q16_delete,10,16.85817060060799,15.75024999328889,23.74249999411404,16.028833502787165,2.43334273959243,True
postgresql,with_indexes,q01_product_by_id,10,0.33924160234164447,0.295000005280599,0.5320829804986715,0.32039549842011184,0.0709099322235004,True
postgresql,with_indexes,q02_product_name,10,0.529550007195212,0.49050000961869955,0.709417014149949,0.508541488670744,0.06520133258301407,True
postgresql,with_indexes,q03_products_by_category,10,0.6970416055992246,0.6307500007096678,0.8968750189524144,0.661832993500866,0.08092121761753977,True
postgresql,with_indexes,q04_orders_by_customer,10,0.3682541981106624,0.3292079782113433,0.5796669865958393,0.34495849104132503,0.07489681416285979,True
postgresql,with_indexes,q05_complete_order,10,0.6595583050511777,0.5618340219371021,0.892958021722734,0.6453750102082267,0.09365703083295919,True
postgresql,with_indexes,q06_total_sales,10,10.900829199817963,10.590374993626028,11.692125000990927,10.768708496470936,0.36851203243436614,True
postgresql,with_indexes,q07_sales_date_range,10,4.920995904831216,3.7495830038096756,5.263125000055879,4.988188011338934,0.43230847599317374,True
postgresql,with_indexes,q08_top_products,10,74.63643749943003,72.81787501415238,77.50899999518879,74.65802099613938,1.3974864846633799,True
postgresql,with_indexes,q09_sales_by_category,10,56.07768770714756,55.73879199801013,56.371625018073246,56.11841700738296,0.21877320163404165,True
postgresql,with_indexes,q10_average_order_value,10,10.723966607474722,10.427792003611103,11.177500011399388,10.742353988462128,0.22234730578532927,True
postgresql,with_indexes,q11_orders_by_status,10,10.655154305277392,10.340542008634657,11.196875013411045,10.680042003514245,0.24060366980588999,True
postgresql,with_indexes,q12_top_customers,10,37.23710430203937,36.601291998522356,37.876541988225654,37.22947898495477,0.49276769601989195,True
postgresql,with_indexes,q13_heavy_multi_join,10,541.3808334968053,506.2505840032827,591.4408339885995,516.5575834835181,39.92231132942674,True
postgresql,with_indexes,q14_insert,10,0.7731748948572204,0.5359579809010029,2.3069159942679107,0.6109375099185854,0.5413633276672277,True
postgresql,with_indexes,q15_update,10,0.522558405646123,0.4547499993350357,0.6129590037744492,0.5101665010442957,0.05530556788336005,True
postgresql,with_indexes,q16_delete,10,0.32916649943217635,0.2948750043287873,0.4105829866603017,0.31860399758443236,0.033179179942583056,True
postgresql,without_extra_indexes,q01_product_by_id,10,0.21642489882651716,0.1683750015217811,0.34366597537882626,0.20172899530734867,0.05248258895158658,True
postgresql,without_extra_indexes,q02_product_name,10,1.0552581981755793,0.9782080014701933,1.1571249924600124,1.0571250022621825,0.06512733426347961,True
postgresql,without_extra_indexes,q03_products_by_category,10,0.6727416999638081,0.6231669976841658,0.8134999952744693,0.6683124811388552,0.05387193635168495,True
postgresql,without_extra_indexes,q04_orders_by_customer,10,3.540479004732333,3.3965419861488044,3.7092079874128103,3.553791524609551,0.12992366147274087,True
postgresql,without_extra_indexes,q05_complete_order,10,0.4538917972240597,0.37408401840366423,0.6363750144373626,0.4408959939610213,0.08825271038606557,True
postgresql,without_extra_indexes,q06_total_sales,10,11.051441400195472,10.55254100356251,11.60545798484236,11.132520507089794,0.3733706989686804,True
postgresql,without_extra_indexes,q07_sales_date_range,10,8.083249995252118,7.812041003489867,8.428707980783656,8.035625505726784,0.22042007766987334,True
postgresql,without_extra_indexes,q08_top_products,10,78.6856457038084,72.4045829847455,94.23341602087021,73.96885400521569,8.510398301705115,True
postgresql,without_extra_indexes,q09_sales_by_category,10,55.758520899689756,55.365042004268616,56.164000008720905,55.72035400837194,0.23355016599674416,True
postgresql,without_extra_indexes,q10_average_order_value,10,10.717812599614263,10.565750009845942,10.893375001614913,10.685354005545378,0.11278531197550648,True
postgresql,without_extra_indexes,q11_orders_by_status,10,10.679433392942883,10.438957979204133,11.086582991993055,10.645166476024315,0.20058995624262246,True
