metric,sqlserver,postgresql,mongodb
Insert Time (s),27.138847124995664,27.586990542011335,11.423329415993068
Average Query Time (ms),39.290840837747965,46.92197215881606,2046.8044127690519
Minimum Query Time (ms),0.6770000036340207,0.2948750043287873,0.3711660101544112
Maximum Query Time (ms),404.8176250071265,591.4408339885995,20022.740333981343
Average CPU (%),3.5565453531021056,2.7949081819325454,5.84995466764798
Peak Host RAM (MiB),3933.046875,3669.609375,3336.8125
Total Storage (MiB),336.0,122.15280437469482,37.97265625
Backup Time (s),0.9532400830066764,1.6442829170264304,3.682549624994863
Restore Time (s),1.2508322079956995,2.394580458989367,3.404685250017792
